text,label
"I was very excited about seeing this film, anticipating a visual excursus on the relation of artistic beauty and nature, containing the kinds of wisdom the likes of ""Rivers and Tides."" However, that's not what I received. Instead, I get a fairly uninspired film about how human industry is bad for nature. Which is clearly a quite unorthodox claim.<br /><br />The photographer seems conflicted about the aesthetic qualities of his images and the supposed ""ethical"" duty he has to the workers occasionally peopling the images, along the periphery. And frankly, the images were not generally that impressive. And according to this ""artist,"" scale is the basis for what makes something beautiful.<br /><br />In all respects, a stupid film. For people who'd like to feel better about their environmental consciousness ... but not for any one who would like to think about the complexities of the issues surrounding it.",0
"Serum is about a crazy doctor that finds a serum that is supposed to cure all diseases through the power of the mind. Instead it creates some kind of monster that needs to eat human flesh and brains. The mad doc creates some zombies out of cadavers and has some problems. There is a very long lead into all the action with many scenes getting you acquainted with the characters. The mad doctor's nephew gets into a car accident and the mad doc tries to use his new serum on the boy. The results are not good. This is a class C film with OK acting but some troubles directing and some continuity errors. There isn't much zombie action in this one and the effects, while adequate, are nothing special. You can fast forward through the slow parts and get some enjoyment out of the action scenes. Watch out for some nudity and bad language.",0
"This movie was so very badly written. The characters had no depth. They should have never made a movie of this. My 11 yr old son could write a better screenplay then Hyung-rae Shim.<br /><br />The only actor that didn't suck was the zoo guard. He was the only funny and believable one of the lot.<br /><br />I love movies and try to give them the benefit of the doubt, but this one was up there on my lame list at number 2. Number 1 being Demonicus.<br /><br />For those of you who actually thought this was a good movie, you are in serious need of brain surgery.<br /><br />Most of the creatures in the movie weren't even dragons...so why did they call D-war?",0
"Hmmmm, want a little romance with your mystery? This has it. I think if the romance was ditched this would have made for a better movie. But how could the romance be ditched when the story's borrowed from something called a Harlequin Romance novel, whatever the heck that is. Had the romance been ditched, the story might have been a little too weak. The mystery here wasn't too bad, quite interesting but nothing on the level of Mission Impossible international espionage. Oh well. I thought Mel Harris was pretty good; her short skirts, i think, added some sex appeal... but this Rob Stewart guy probably could have been better cast, maybe with a more well known TV movie actor. The directing was decent and the writing could have been improved on - both could have been a little edgier, a little darker, more adventurous. One thing that was great about this was the use of real European locations. That could easily have been changed so this could have been filmed in Canada but they really were in magnificently beautiful places like Budapest. Possibly a drawback was the director and/or cinematographer's choice to frame certain shots picture postcard perfect. Not good. Had this been a more dramatic motion picture shot for the big screen, picture postcard perfect scenes really need to take a backseat and just be a nice part of the background. This was just a tv-movie, though, so they had to add some Ummmph to the picture and some of that Ummmph came from the scenery. Overall, twasn't really a bad movie. I'll tell you what, this was absolutely the best Canadian-Hungarian production I have ever seen! (and the only that i know of.) I hereby proclaim this to be a mediocre made-for-tv movie, giving it a grade of C-",1
"I loved this movie. I knew it would be chocked full of camp and silliness like the original series. I found it very heart warming to see Adam West, Burt Ward, Frank Gorshin, and Julie Newmar all back together once again. Anyone who loved the Batman series from the 60's should have enjoyed Return to the Batcave. You could tell the actors had a lot of fun making this film, especially Adam West. And I'll bet he would have gladly jumped back into his Batman costume had the script required him to do so. I told a number of friends about this movie who chose not to view it... now they wished they had. I have all of the original 120 episodes on VHS. Now this movie will join my collection. Thank You for the reunion Adam and Burt.",1
"Oh... my... god... this is without a doubt the absolute cheesiest movie I have ever seen. The acting is bad, the story is weak, the characters are weaker, and the whole film just doesn't make sense. Couple this with mediocre directing, really strange scenes (such as the one where the kid reaches over the ravine and mysteriously falls in), and thoroughly abysmal dialog (""Look!"" ""Musta peed his pants!""), and you get one complete failure. Not to mention the fact that the only thing Mr. Atlas looks like he could defeat is a case of chocolate bars. But this is part of the movie's charm. Sit down and watch it with a few of your friends for a good laugh. <br /><br />I love this movie, because it's just SO BAD!",0
"I was one of many that expected to see a glorified, Yankee-doodle dandy portrayal of a day that (as famously quoted) should live in infamy, rather than glory. How wrong I was. These guys were there, right in the middle of it, and the pictures they returned are both amazing and heartbreaking. And yet it all occurred on a chance trip to the world trade centre on September 11, 2001.<br /><br />Two French filmmakers were compiling a documentary about life as a NY firefighter, particularly from the perspective of a young rookie coming up through the ranks. At the beginning we see much of this footage, just to remind us that there was no thought to producing a film about terrorism. This was intended to be a film about regular people earning an honest living helping others, and the beauty of the film is that it never loses this edge.<br /><br />While investigating a suspect gas line (I think, my memory's a little hazy on that), we suddenly hear a plane fly overhead. The camera pans up to reveal a commercial jet torpedoing itself into one of the towers. What must the cameraman have been thinking at this time? Recognising the importance of the footage the camera stays on, and possibly realizing the same thing, the FDNY allow the camera to follow them into the building.<br /><br />What follows is a true view from the front-lines. We see the commitment of the FDNY, their reactions (the stunned silence after hearing the first person fall to their death is chilling) as well as the collapse of the one of the buildings from the inside, while a second camera captures the events from the outside.<br /><br />If it wasn't for the horrific event they were covering, the footage alone would be any young doco-maker's dream come true. Quite simply, the footage deserves to be preserved for all time. But what really sets this film apart is the genuine humanity that it brings to the viewer. We see firefighters charging in without hesitation, people of different races helping one another escape to wave of rubble and even the concern of the filmmakers for one another (they are brothers) as they cannot reach one another in the confusion. There are amazing sights as well as amazing human stories in this film, something Hollywood could never duplicate (even though it's trying).<br /><br />9/11 isn't a film about politics. Nor is it a film about religion, nationality or even jihad for that matter. 9/11 is a film about people, and a true indication of the best and worst that we are capable of. 9/11 is quite simply one of the most important films I've ever seen, and would be the only film to be born from this event if it were up to me. You can't duplicate this.",1
"I thoroughly enjoyed Bilal's graphic novel when it came out, and was amazed when I saw the trailer for this film, and even more so when I found that Bilal had directed it himself. The film, however, was a major letdown. The visuals are nowhere near the rich and gritty texture of the original artworks, and the story is poorly told. Bilal seems to have chosen to focus on the more esoteric aspects of the graphic novel, and he doesn't do a very good job at it, either.<br /><br />The most enjoyable part of the original graphic novel was the friendship-hate relationship between Nikopol and Horus. They were both out of their right time and place, forced together by circumstance. Most of all, they were funny and likable. Not so here. Nikopol has no discernible personality whatsoever, and Horus is a pompous twit who just wants to get laid. Even though the film is French, Horus doesn't have to be!<br /><br />We have all seen films we enjoyed, but wouldn't recommend to everyone, for some reason or other. I wouldn't recommend Immortel to anyone, except maybe as a warning not to overreach your talent and resources. Bilal's a master storyteller, but obviously not a master of every visual medium.",0
"I first saw the trailer for Frailty on Yahoo Movies way back in the day, after hearing Stephen King praise it to high heaven. Not really a fan of either star, I still wanted to see it because I'm a huge thriller fan.<br /><br />I was not disappointed. The acting was superb, especially from the two young boys. Usually I loathe child actors, but Young Adam and Young Fenton were excellent. Bill Paxton really did a good job of directing it too. It was beautifully shot.<br /><br />One must also note the plot twists. The three twists at the end hit hard and fast, and I didn't see them coming. The final twist of the film, coupled with the gravity of what had just been revealed, gives me chills to this day, even though I've re-watched the film so many times.<br /><br />A true gem.",1
"After a chance encounter on the train, a young couple spends a single night strolling the streets of Vienna, discussing life and love. The primary reason to see ""Before Sunrise,"" is to watch a young Julie Delpy deliver her lines. As ""Celine,"" this sexy, brainy, soulful brown-eyed blond is sort of a cross between Brigitte Bardot and Joni Mitchell as they were in their mid-twenties. Risking overstatement, Celine is practically the ideal woman, unusually beautiful and very feminine while being natural, unpretentious, introspective, and selflessly loving. We can easily forgive that she is a bit eccentric and talks a blue streak, for her sincere, intelligent remarks are occasionally penetrating. Further, her varied expressions are nothing short of captivating and she speaks English with a French accent that is very endearing. <br /><br />If there is a fly in the ointment of this good movie, it would have to be her unkempt and disheveled costar. Ethan Hawke as ""Jessie"" comes off like a vaguely appealing slob, sort of a Maynard G. Krebs of the nineties. Attempting to appear detached and nonchalant, he sort of drags himself through certain shots. His pants fit poorly, his tee shirt is coming untucked, his wavy dark hair (his most attractive feature) needs a good washing, and someone really should have showed him how to properly trim his youthful goatee. Nevertheless, he is supposed to represent an unwashed youth on a two-week train ride around Europe, so the look he has cultivated is probably pretty genuine. His oft-cynical observations and wry sense of humor seem to impress the unapologetically romantic Celine, although she is occasionally disturbed by the extent of his alienation. When he finally admits to her that he is utterly sick of himself and likes being near her because he feels like a different person in her presence, we know he is getting somewhere. <br /><br />After blowing their collective funds on a series of cafes, bars, and silly diversions, they agree that because they may never see one another again, they should make the most of it. Jesse bums a bottle of red wine off a sentimental bartender so that he and his newfound lady love may repair to a local park in the middle of the night to lie on the grass, looking up at the moon and the stars and watching the sun come up. <br /><br />Given his boundless luck in the romance department, it is especially irksome when Jessie, as the very definition of a naive jerk, foolishly allows this wonderful young lady to slip from his grasp. He contents himself with a half-baked plan, quickly devised at the railroad station when he bids her adieu, to reunite at the same spot in half a year. When the appointed time comes, you just know this beautiful and unusual girl will be involved with another, perhaps even married and pregnant. For whatever reason, she probably won't show, while Jesse, who ends up working at Target or (if he's lucky) the local library, will go back to Vienna, desperate to see her again, only to wind up alone.<br /><br />Despite what for me was a very discouraging conclusion, ""Before Sunrise"" is a beautiful movie. I highly recommend both it and the sequel, ""Before Sunset.""",1
"SPOILERS WITHIN.<br /><br />It appears that von Trotta was a lot more at ease with what the balance of personal story versus history of the events than she was in her earlier film Versprechen, Das (1995).<br /><br />The direction seemed carefully controlled, and visually I felt it was highly appealing - especially where the visual narrative was concerned (the title-sequence blend and the lighting of a new candle in modern times commemorating the deaths of various characters in the past).<br /><br />To clarify two points that many people have been confused by:<br /><br />Firstly, Lena did not sleep with Goebbels. Although this may have seemed implied, it was not the intent. Von Trotta told me so herself! (And she is a very nice lady, by the way!)<br /><br />Secondly, the time-frame of events was in fact historically accurate (the actual dates are shown on the close-up of the memorial) and the prisoners were released as suddenly as in the film. There is evidence showing that Goebbels was annoyed about having done this, and had planned to eventually recapture those he had set free.<br /><br />Overall, what most impressed me most was that it was an original story from a much 'over-movied' era. It seems a shame that it has taken such a long time (for various reasons) for this film to hit our screens.<br /><br />More of the same please, Margarethe!",1
"When this movie first came out back in 1984, Prince was one of the hottest acts around. Everyone wanted to see this movie, which was not much more than a extended music video. The acting was pretty bad, but what can you expect from musicians acting on the big screen for the first time? Despite that, it was still a very entertaining film! Morris Day and Jerome Benton provide some all time classic comedy, especially their rendition of ""The Password"", which will make you think of Abbott & Costello doing their ""who's on first"" baseball routine.<br /><br />Appolina (who went by a single name then) provided some beautiful breasts, so you had the brief nudity covered. Plus, she is very attractive. And of course, the soundtrack of the album is one of the best Prince ever recorded. Prince later on had a fallout with Warner Bros. and changed his name, but at this particular time in his career, he was at the top of his game.<br /><br />This movie doesn't rank in the all time great category, but it is pretty entertaining.",1
