text,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
Fuck this asshole and fuck ADN with it's fascist peer reviewed comment censorship.,0.9714286,0.34285715,0.9142857,0.028571429,0.8857143,0.057142857,0.6857143
you fucking idiot,0.9927798,0.36462092,0.96750903,0.0027075813,0.982852,0.012635379,0.018050542
Pedophile scum need to be gunned down in public or burned alive.,0.92,0.36,0.336,0.808,0.76,0.24,0.096
You all are pedo loving pussys i know this comment will get rejected like my last but thats okay you still see it when you say it isnt civil. SHOOT ALL THE PEDOS AND NIGGERS!,0.9760732,0.38494018,0.6467277,0.7403237,0.88529205,0.9099226,0.3476425
Kill all the nigggers and pedophiles!,0.9937326,0.53481895,0.34958217,0.95194983,0.7764624,0.9512535,0.057799444
"Good.  The NRA and tRump deserve each other.  Blam, blam, blam.  Shoot 'em up, bang 'em up.",0.9,0.4,0.0,0.9,0.0,0.0,0.0
"WE NEED TO PERSECUTE THESE CHRISTIANS,PLEASE JOIN US",0.9,0.4,0.0,0.5,0.0,0.9,0.0
"Conversely: 1. ""...When Mexico sends its people, they’re not sending their best. They’re not sending you. They’re not sending you. They’re sending people that have lots of problems, & they’re bringing those problems with us. They’re bringing drugs. They’re bringing crime. They’re rapists. & some, I assume, are good people."" 2. ""...I could stand in the middle of Fifth Avenue & shoot people & I wouldn't lose voters."", 3. Regarding Ted Cruz's father Rafael ""His father was with Lee Harvey Oswald prior to Oswald's being, you know, shot...Nobody even brings it up, I mean they don't even talk about that. That was reported & nobody talks about it."", 4. “What can be simpler or more accurately stated? The Mexican Government is forcing their most unwanted people into the United States. They are, in many cases, criminals, drug dealers, rapists, etc."", & 5. From 1990 to 2013...unauthorized immigrants in the U.S.  equaled 11.3 million and the violent crime rate declined 48% & property crime by 41%.",0.4,0.4,0.2,0.4,0.3,0.5,0.2
I will Burn your house down,0.95451367,0.32120365,0.0020993701,0.9489153,0.018894332,0.0,0.0
"went to school with that stupid faggot.. looks like he grew up to be exactly what he was in school, a stupid faggot",0.9889155,0.3148592,0.81276214,0.0041941283,0.98651886,0.80647093,0.019173158
"Seriously Paul, any woman that appears to be attracted to Trump could only be attracted to his fame and money. Let's face it the guy is beyond hideous and even when he was younger his personality alone would had to have made any normal women's skin crawl. 
Have you seen the pic of Don puckering up to Olivia Culpo, Ms. Universe 2012? Her turned head is a cry for help, most definitely. 
No Donny's a grotesque lecher and only a woman who is either an ass-kisser, a prostitute, or a resolute gold digger with a cast iron stomach, could get near the guy without puking or attempting to kill him, or both.",0.6,0.4,0.2,0.1,0.6,0.2,0.2
"a right wing rag is your source for unbiased ""news""  was it page 2 or 3 that told of the clintons eating christian children for breakfast and burning wax coated christians for funsies?  only in anonymity, or on FOX news,  can one cite such a eyes closed source over and over in ridiculous statements.

 what the heck kind of MD are/were you?  did you bleed people to rid them of the evil spirits in their bodies?  or cups them to produce copious bleeding?",0.5,0.4,0.1,0.3,0.5,0.3,0.0
"Good try, but FAT chance I would rather have Clinton than an  elected president who will be in court in December answering a filed case against him that he tied up and raped a 13 yr old virgin.",0.7,0.4,0.2,0.0,0.6,0.0,0.4
Hillary supporters are betrayers to the constitution... No if ands or buts. They should hang you along with that murderer...do the research you stupid fucks! Wake up!,0.9789104,0.37024018,0.84124196,0.6695958,0.9513767,0.04393673,0.4493263
Can you fuck off you ugly fuck Jesus looks like God made a mistake on your face,0.98663104,0.39304814,0.9590018,0.02406417,0.9616756,0.21746881,0.09269162
Hang the bitch!,0.985654,0.32742617,0.87172997,0.78396624,0.87848103,0.059915613,0.019409282
"we pay those damn teachers as if they were surgeons.  lazy and low IQ teachers should receive a 25% paycut as they barely work 8 months and get paid for 12 months.  Rich pensions, benefits, sick days, total abuse of work and of  the tax payer dollar and they ain't too intelligent (tier 2 for sure).  In the meantime, krooked kathleen cuts the doctors who are educated, intelligent, work hard, paid their dues, are much needed and in demand.  kathleen is nuts.  Fire the useless teachers.  I support the doctors 110%.  if it is found out that krooked kathleen bribed the teachers, she will have hell to pay.  WE NEED DOCTORS you corrupt and incompetent nut.  We do not need the lazy teachers - there are a million of them - ever heard of supply and demand.  Can't find a doctor anywhere yet those lazy teachers are everywhere but never teaching....just screwing the tax payer.",0.9,0.4,0.6,0.0,0.8,0.1,0.0
shoot him then cut his nose off.,0.9638448,0.33421516,0.024691358,0.9532628,0.08024691,0.005291005,0.0070546735
garbage like you should be incinerated!,0.9907407,0.3208912,0.03125,0.9157986,0.9733796,0.006076389,0.00028935185
Why dont you go shove your head up Trumpler's ass and breathe deeply . Better yet go shoot yourself,0.97740114,0.34392655,0.87711865,0.81497175,0.70903957,0.014830508,0.7973164
"This ""GUY"" or ""THING"" is a living ""MONSTER"",  truly the ""DEVIL""  in a human body.    He should be put to death, HOWEVER,  our lame state just can not do it, so,  put him in prison, FOREVER, no parole.   Read the Sign...............FOREVER............",0.7,0.4,0.2,0.7,0.4,0.0,0.0
"Japan should have finished what they
started in the 1930's. Or the US should have dropped 
a dozen ABOMBS on chinnie, eradicating them
all.
Polite, professional and a plan to kill them all.",0.88596493,0.35380116,0.040935673,0.7982456,0.21052632,0.5994152,0.0029239766
"""immiserate"": transitive verb, meaning to make miserable.

Darn those Chinese and their inscrutable justice system! Imagine making accused spies feel miserable. You'd never see America or Canada doing that.",0.8,0.5,0.8,0.0,0.8,0.8,0.0
Off with his head.,0.9,0.4,0.1,0.9,0.1,0.0,0.0
"Cultural expectations are very real. I hope they cut this guy some slack. Anybody who allows his or her dog to bark non-stop needs to be debarked and declawed him or herself. The negligence of the owners is the cause of this issue. The pellet gun was the cure. Not elegant, but eventually effective.",0.5,0.4,0.0,0.4,0.1,0.1,0.0
"They all deserve to die, too bad we can stone them in town square.",0.92583334,0.30416667,0.01,0.89916664,0.15583333,0.019166667,0.00083333335
Kill them all off. Drug addicts are losers.,0.9137931,0.31034482,0.05172414,0.8448276,0.6896552,0.12068965,0.0
Take him back to Germany and hang him up nude for public display and desecration. Then grind him up and feed him to the pigs.,0.9248292,0.39863327,0.09719058,0.87471527,0.28625664,0.08959757,0.13591495
The only justice here would be if they each get raped in prison and then brutally beaten to death.,0.8848355,0.3025751,0.07224607,0.8397711,0.12660944,0.0035765378,0.58512163
Only a fuckin nigger would do something like this.,0.9936599,0.36945245,0.9533141,0.004034582,0.94582134,0.9792507,0.012103747
we can only hope he gets shanked to death. or shot in a transfer.,0.9,0.4,0.0,0.8,0.1,0.1,0.0
"Fuck your mama, and fuck your civility standards! You're fooling yourself with your pretentious standards and you should probably kill yourself. There. Civil enough?",0.9839609,0.45258018,0.9748954,0.72315204,0.92119944,0.021617852,0.63947004
"ericnorstog,   IF, and I say IF,  I was God, and when you come before me for final judgement,  I would cut off your dick, and if you are a woman, I would stitch up your pusey.",0.9512712,0.3891243,0.8629944,0.8043785,0.35805085,0.16454802,0.9279661
"Oh wah!  Still bitching,whining and complaining even after your criminal, traitorous national security risk, fcheat, defrauding, sexual predator, pussy grabbing, ass-kissing, golden-showers loving Russian lapdog was ""elected"" to the presidency.",0.94611305,0.31448764,0.90194345,0.011484099,0.8657244,0.23233216,0.885159
"Waaaaaaa Waaaaaaaaa 
 Do you like it with the Trumpelthinskins grabs your pussy?
 Is that what you're going to teach your daughter is OK?
 Or maybe your son did you teach your son that it's OK to grab the pussy just like the president of the United States Trumpelthinskin???
I USE ALL CAPS SO YOU CAN HEAR ME ABOVE ALL THE GOP NEO NAZI SPEECH!!!!!!",0.9392523,0.36915886,0.8364486,0.028037382,0.7616823,0.3411215,0.864486
"You can thank your government for the situation in BC real estate. It is well documented that foreign speculation and money laundering is effecting real estate, not just millenials stupid enough to buy at the very top of a market when we are in a housing bubble.",0.8,0.4,0.1,0.0,0.8,0.1,0.0
May I have the honor of severing your head from your neck?  LOL,0.8774948,0.30763936,0.00550585,0.8637302,0.048176188,0.0013764625,0.008258775
"These are the geniuses that have gifted Alaska with a budget deficit that forces us to spend $8,219,178.08 from savings every day.  But not to worry, they want to go after your Permanent Fund next.

Selfish jerks, every single one of them.",0.7,0.4,0.0,0.0,0.6,0.0,0.2
