example,label
"Thank you, Roman Kuczynski for your letter, providing insightful information based on true life experiences.  Our current Federal government should pay attention and be far more cautious and protective of Canadians.",not toxic
"Since you've already acknowledged that your primary goal is to be a troll, I'll let this thread die.",toxic
"These Liberals are selling their souls cheaply. Still, either for  lousy $1,500.00 or two million, it is still prostitution!",toxic
"When all else fails, change the subject to Hillary's emails.",not toxic
"The establishment will never stop, big media, global NGOs and left wingers  all want our tax dollars. 

The Marxist has been exposed and are being rejected. The world has had enough even if media refuses to report it acutely!",not toxic
"ABOUT TIME.  Thanks for pouring water onto some smoking wreackage, rather than fighting the fire before the whole structure is destroyed (and by that I mean Federal Govt in general, not specifically THIS Government, which was not in power during the growth of this issue).",not toxic
"Comey seems to be way too much of a political figure to be the chief of the FBI.  The Dems wanted him out last year.  He should have stuck to the facts and left his opinions, beliefs and feelings out of it.  Maybe he's planning a political career now.",not toxic
"He may like the internal forum, but the reality is he has affirmed traditional doctrine and practices. While he does like the internal forum he has not changed anything.",not toxic
"ADN, did you turn off the comments on the article of Alaska's Women's March? If so, why?",not toxic
"Mr. Wright, sometimes the ""ivory tower"" intellectual lacks practical experience.

I received a few months ago a pamphlet from a (no doubt) wise, learned and good intentioned professor advising me on the best way to raise baby chicks (I've been in the business all my life).  I dutifully read the pamphlet and ended up annoyed.

He gave advice on heating the barns (I respectfully submit I know more about my barns than the gentleman) - some the way I do things, some the way I don't for various reasons.  Some not unreasonable advice on feed and water.

The good doctor also made some downright screwy suggestions like checking the rectal temperature of a representative sample of 20 - 50 chicks per floor per day - a pointless waste of time not to mention an undesirable way to spend it.

I couldn't help but get the image (fairly or unfairly) of a veterinarian puttering around a small flock in a laboratory extrapolating his observations mistaken about their practical import elsewhere.",not toxic
https://mobile.twitter.com/pharris830/status/871763608472080384/photo/1,not toxic
"God didn't create robots.  We choose our own actions.  But in the end, everyone will give a final account of how they lived their life.",not toxic
"Actually, we moved to Oregon in 1971, forty-five years ago.  It's rather likely that we've lived in Oregon longer than you have...even though you were possibly born here.  Additionally, in the United States we have ""open borders"" between the States and anyone is quite free to live in any state they choose.  

Regarding the use of ""Proposition"" rather than ""Measure"":I believe most Oregonians would recognize that they refer to measures put on the ballot either through the initiative or the referendum process. Your comment is both trivial and mean-spirited. 

Now, I do differentiate between ""poster"".....the term I use referring to most persons who comment on this site; and ""troll"" which is the term I apply to you and your typical posts.  These terms are significantly different. ""Posters"" seek civil conversation with others.  Trolls, on the other hand, launch ad hominem attacks on others and inhibit  that civil discourse discourse.",not toxic
"I watch - habitually - the 6:30 newscasts of all 4 networks on weekdays (NBC,ABC,CBS and PBS) and  while they cover the storms and fires more or less accurately, when it comes to politics, they're almost the same. In sleaziness, NBC is far ahead of the others. Full of innuendos, baseless ad hominem attacks, sensational allegations of fictional, unproven events is their mantra.
Nothing defensible there.",not toxic
😳 mean,not toxic
"It's really simple. Nowhere did he say ""the greatest president of all time."" False witnessing again Richard? You are consistent. And no one is forcing you to drop to your knees. Your spins and hyperbolic reactions speak volumes about your attitude on racial issues. Do you really think that an African American would've become President if King and the civil rights movement of the late fifties and sixties hadn't finally ended 100 years of Jim Crow? 

I'm thinking that how over the years when you've allowed your bigotry to rain down (not shine) in spins and deflections, and attempt to weasel out of your comment that replied to a commenter, "" I never would've allowed Rosa Parks on the bus in the first place,"" .... you gave yourself away a long time ago bucko. You can keep denying it, but most of us know better.

I don't think you even contemplated Mr. Pitts respect for our President for even a moment. Par for the course.",not toxic
"I think most of these ""folks"" were anti wall street a few years ago, funded by who? I saw this same thing in the 60s, less organized. Follow the money, who funds this.",not toxic
"Remember when we used to go to music camp, art camp, or we took shop in high school? I don't think all of us necessarily became artists, musicians and mechanics, but it made us more aware of our surroundings, culture, and the way things work. I don't think the world would collapse if kids didn't take coding, but I completely disagree that coding is another silly fad. It pulls an number of disciplines together and kids see how those disciplines – and hey!– even people, work together.",not toxic
Why is the SA censorship posts ?,not toxic
"Many folks have decided to give to charities where the $$$$ go to the cause  and not  CEO's and administration. I stopped giving to the United Way. I saw what the CEO earned.
I give to select charities now : Salvation Army, St. Vincents,  Red Cross.
Consider that most donors with money to give are paying more taxes, I think some charities are not surprisingly in trouble.",not toxic
"I argued about this with our kid's school principal and was basically told that I was an idiot for even suggesting such a thing. (I shall look her up now if the old battle-ax is still running a school.)

As Sir Ken Robinson once stated:  There are other important attributes of a child other than the date of manufacture.  Kids all don't become equally 'ready for school' at some magical age.",not toxic
Tear it down....for 38 million you could build a real nice dog kennel.,not toxic
"Good luck Mr. Sullivan. You were, by far, the most pleonectic and self serving mayor we have ever had in the history of our lovely city. I'd put a check mark by Daffy Duck before I'd put one by yours as Senator of our Great State.",not toxic
"""Trump led Republican party""?  

The Republican party who was willing to take Cruz to avoid Trump""

The Republican Party that spent millions of dollars to go for anyone but Trump?

If the Republican Party was 'following' Trump, there would already be a 'Repeal and Replace""; there isn't.

If the Republican Party was 'following' Trump,there would already be a Congressional Bill on DACA; there isn't.  

Your party bias is sneaking into your perceptions.  

Trump is no more a Republican leading other Republicans than Sanders is a Democrat leading other Democrats!

The 'details' will have to come out.  There isn't a ""tax reform bill"" in the entire world that is only 9 pages long!

This is just the usual knee-jerk by the Democrats--and by you!",not toxic
........... said the blind dumb and deaf lemming.,toxic
"The simple fact that a candidate was elected with public funding doesn’t mean she’s a good council person. For the good of the people of Puna, I hope she can drop the divisiveness and get to work for her district.",not toxic
"I and perhaps all others love exactly what you say.  I don't think anybody would not love that future vision.  I think the problem has been that some people have been saying, ""love it, but aiyah...if we had only had a real, building industry acceptable, and financially competent business plan in the beginning, and/or been told that we didn't have any, before breaking ground.""",not toxic
Put trash on train!,not toxic
"You have an 8-year-old mind in the body of a 70-year-old. The various attempts at accommodation are for the 8-year-old, whereas the rigors of travel have to be reduced for a 70-year-old. The media is not ""treating him"", but reports of what his planners are doing is ""treating him"" like an 8-year-old.",not toxic
"There are a lot of wealthy people who Declare alaska to be their residence -  
for those of us who simply love it here, and lived here when we used to have an income tax and didn't mind paying it – and had an employment tax for your first job, so that summer workers had to kick into support government too –  The whining about paying for the place we love the opportunities we have is disgusting. If we don't want oil to pay for it, and we don't want to pay for it ourselves, at this and leave us many choices – does it.
?!?
The whining by the most wealthy among us,  Who use in alaska residence just to avoid paying taxes elsewhere, and by those who have benefited the most from our good fortune, is especially disgusting,",toxic
"I'll agree it isn't a fact until it's pumping ~ thank you for catching my overstatement.  Let's say 75% chance because Armstrong, Caelus and Conoco-Phillips have all predicted having oil in the pipeline in those years. It appears that the only thing that could stop it would be the federal government or our state government.  That would be the impediment I most distrust.  It appears that you have not really looked at the numbers, which is something I've been doing since I decided I should research this so that I could document it.  My first articles in the Frontiersman and People's Press began coming out in 2015.  But the better test of it is that the Alaska Dispatch has refused to publish anything that does not toe your line.",not toxic
"Siemens is sick and tired of Canadian politicians interfering in their rail business. I heard this firsthand from a Siemens rail engineer: he said that Canadian diplomats would routinely run interference on behalf of Bombardier Transportation in foreign countries. Of course these deals are much larger than such grievances, but all the same, Bombardier clearly has a reputation for not-so-competitive practices. The Alstrom-Siemens deal doesn't surprise in the least.",not toxic
