input,label
"Product Name: Finn Maxi French Navy Description: Made from 100% linen, our Finn Maxi is a beautiful relaxed style. The three tiered, dress will become your new favourite to grab and go when it comes to any occasion. Wear it casually with sandals and sneakers or spice it up with wedges!
 
  * Tiered maxi 
  * Beautiful quality linen
  * Scoop neck 
  * Button opening at back 
  * Sleeveless 
  * Waist to hem length is 78 cm (size 12) 
  * Our model is 171cm (5'7) 
  * Gentle machine wash",Midi
"Product Name: A printed woven mini dress-ID18914 Description: A printed woven mini dress featuring plunging V neckline, short puff sleeve, O ring at front, side cut out, layered full skirt, back button down closure and half open back
 
 Details
 
 Self : 100% Polyester
 Lining : 100% Polyester
 
 Size & Fit
 
 - Model is 5`8"" And Wearing Size Small
 - Measurements Taken From Size Small
 - Approx. Length: 42.5""",Mini
"Product Name: Zebra Stars Description: Make a statement and look fabulous in this all-over printed, fitted dress.
 • Fabric weight: 6.61 oz/yd² (224 g/m²)
 • Made with smooth, comfortable microfiber yarn
 • Material has a four-way stretch
 • Blank product components sourced from China
 
 • Blank product components sourced from China",Mini
"Product Name: Fahela Dress - Stay Groovy Description: Let the Fahela dress be your perfect companion for those chillier fall days. Its unique mini silhouette, long split sleeves, and cotton corduroy fabric will keep you feeling cozy and looking groovy! Zip up the high-neck back and you’ll be ready to take on the day in style. Stayin' warm and lookin' good - you can do both with this piece!",Mini
"Product Name: SD390022 SLEEVELESS SIDE LACE DETAIL BANDAGE DRESS Description: SD390022 SLEEVELESS SIDE LACE DETAIL BANDAGE DRESS
 
 92% POLYESTER, 8% SPANDEX
 
 
 
 MODEL IS WEARING A SMALL
 
 HEIGHT: 5'7""
 
 BUST: 34
 
 WAIST: 26
 
 HIPS: 42
 
 SHOES: 8",Knee-Length
Product Name: Moss Dress Description: nan,Midi
"Product Name: Tropical print racer back maxi Description: Sleeveless racer back peplum flower print maxi dress in soft knit fabric.
 95% Polyester 5% Spandex
 Made in USA
 Model: 5'7"" wearing size small
 Length (S) 54"" inches
 Bust (S) 32"" inches",Maxi
"Product Name: Pink Floral Mini Dress With V Neck And Spaghetti Straps Description: Pink Floral Mini Dress With V Neck And Spaghetti Straps 
 
  100%Rayon
 
 Lined",Mini
"Product Name: SHORT RUFFLE SLEEVE BUTTON DETAIL SOLID DRESS Description: 65%RAYON 30%POLYESTER 5%SPANDEX
 
 SHORT RUFFLE SLEEVE BUTTON DETAIL SOLID DRESS",Mini
"Product Name: Poly Cotton Drawstring Waist Curved Hem Dress Description: Poly Cotton Drawstring Waist Curved Hem Dress
 - Drawstring Elastic Waist
 
 
 
 Total Body Length: 43"", Bust: 35"" Approx.
 
 - Measured From Small
 
 
 
 * Color May Vary Slightly Due To Monitor Resolution
 
 
 
 Fabric 65% Polyester 35% Cotton
 Made In Cambodia",Knee-Length
