description,label
im trying to do something often i just look at the whole problem and feel overwhelmed by it then sometimes avoid the issue for as long as i can,surprise
im feeling homesick this week,sadness
i sometimes feel so vulnerable and so lost,fear
i also have started taking b and it works a charm my lashes are getting longer thicker and i feel that i dont need to coat so much mascara on or wear fake lashes as much as i did before yay,sadness
i found having old pip constantly on stage rather disruptive he sometimes reacted along with young pip and sometimes didn t he sometimes moved position in dramatic scenes and he just left me feeling rather awkward,sadness
i cant help but feel that i need to be delicate,love
i feel i was appalled to see a misused apostrophe on the bbc and an incorrect spelling on itv last week,anger
i got a good feeling from the school and i have a lovely class,love
i am lost distraught and mainly at a state of feeling helpless,fear
i feel the most discouraged lonely and stressed,sadness
i always felt like i could do anything but now i feel so fearless,joy
i was feeling wednesday night so i wasn t thrilled to be in training again ha,joy
im not the only one that feels this discomfort and discontent in general as evidenced by matt from muse quoted here talking about their album if you look at those protests in france the size and level of protest doesnt really relate to what theyre protesting about,sadness
i was so scared it wasnt even funny it just made me feel more pathetic and stupid,sadness
im feeling very determined,joy
im feeling overwhelmed by college with everything else that had happened this semester,fear
i stay up and feel foolish,sadness
i feel slightly triumphant thank you very much,joy
i feel really low,sadness
i do when i feel lethargic,sadness
im feeling so jaded right now,sadness
i like to pray a decade whenever im feeling stressed or scared,anger
i know how awful it is to be on your a game and not see any results and just feel crappy overall,sadness
i cant help but also feel incredibly lucky over how it all went down and the community around us,joy
i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable,sadness
i have absolutely no one to turn to when im feeling troubled and im not even exaggerating when i say that,sadness
i feel tremendously lonely,sadness
i make them feel valued and included even when we don t see each other often that it s one of my superpowers,joy
i feel a bit relieved,joy
i feel truly impatient that this is taking so long,anger
i hate to feel devastated so much so that i have an unhealthy habit of suppressing my feelings,sadness
i have been neglecting the feeling of people around me i was stubborn,anger
i feel honored that my art is going to fill a room where sick children need all the joy they can get,joy
im feeling so sally field like these days surprised by all the love and always with a brown mop of hair atop my head,surprise
i feel such morose sentiments floating around my brain,sadness
i hold it for a day my arm will feel numb and paralysed,sadness
i feel no remorse about doing this it was unsuccessful and a learning process for me in the development of this blog,sadness
i feel troubled by his hunger and his homelessness,sadness
i grieve my losses and then feel ashamed because the little way has the essential component of my life well lived i get to tell someone about jesus love,sadness
i spent a while in here otherwise i was in my room reading and working in the feeling good handbook or making notes on how to further keep my anger under control once i was discharged,joy
i drove back to the beach staring at the thing on the seat beside me feeling very depressed,sadness
i do enjoy large bold prints and i suppose its odd im feeling timid about leopard,fear
i feel like im being punished and it makes me sad stressed worried,sadness
i just feel so unsure of myself and everything in my life,fear
i feel an angel steal me from the greedy jaws of death and chance and pull me in with steady hands theyve given me a second chance the artist in the ambulance can we pick you off the ground more than flashing lights and sound,anger
i save recipes to springpad and when im feeling adventurous i might try something new,joy
i also feel stubborn,anger
i don t expect you to feel sorry for me,sadness
i couldnt help feeling a little envious of what treats the body power people might have in store for them demonstrations of super strength perfect specimens glistening with accentuating oil exercise gear to be seen in,anger
im feeling less like a woman and more like an embarrassed girl,sadness
i dont know if i feel this way because i live in la and id rather be somewhere else or if its because im stressed about money work or if im just in need of a hug,sadness
i stand here i feel empty a class post count link href http mooshilu,sadness
i feel like ive got a handle on trusting my instincts,joy
i set off to drive back to derbyshire on friday afternoon i felt so emotional and suddenly didnt want to leave its a funny feeling being homesick for a place before youre even out of the county borders but it does make going back all the more special,sadness
i feel so idiotic all the sudden,sadness
