description,label,llm_labeled_successfully,llm_label
im trying to do something often i just look at the whole problem and feel overwhelmed by it then sometimes avoid the issue for as long as i can,surprise,yes,fear
im feeling homesick this week,sadness,yes,sadness
i sometimes feel so vulnerable and so lost,fear,yes,fear
i also have started taking b and it works a charm my lashes are getting longer thicker and i feel that i dont need to coat so much mascara on or wear fake lashes as much as i did before yay,sadness,yes,joy
i found having old pip constantly on stage rather disruptive he sometimes reacted along with young pip and sometimes didn t he sometimes moved position in dramatic scenes and he just left me feeling rather awkward,sadness,yes,surprise
i cant help but feel that i need to be delicate,love,yes,fear
i feel i was appalled to see a misused apostrophe on the bbc and an incorrect spelling on itv last week,anger,yes,surprise
i got a good feeling from the school and i have a lovely class,love,yes,joy
i am lost distraught and mainly at a state of feeling helpless,fear,yes,fear
i feel the most discouraged lonely and stressed,sadness,yes,sadness
i always felt like i could do anything but now i feel so fearless,joy,yes,surprise
i was feeling wednesday night so i wasn t thrilled to be in training again ha,joy,yes,sadness
im not the only one that feels this discomfort and discontent in general as evidenced by matt from muse quoted here talking about their album if you look at those protests in france the size and level of protest doesnt really relate to what theyre protesting about,sadness,yes,fear
i was so scared it wasnt even funny it just made me feel more pathetic and stupid,sadness,yes,fear
im feeling very determined,joy,yes,surprise
im feeling overwhelmed by college with everything else that had happened this semester,fear,yes,fear
i stay up and feel foolish,sadness,yes,sadness
i feel slightly triumphant thank you very much,joy,yes,surprise
i feel really low,sadness,yes,sadness
i do when i feel lethargic,sadness,yes,sadness
im feeling so jaded right now,sadness,yes,sadness
i like to pray a decade whenever im feeling stressed or scared,anger,yes,fear
i know how awful it is to be on your a game and not see any results and just feel crappy overall,sadness,yes,sadness
i cant help but also feel incredibly lucky over how it all went down and the community around us,joy,yes,surprise
i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable,sadness,yes,sadness
i have absolutely no one to turn to when im feeling troubled and im not even exaggerating when i say that,sadness,yes,sadness
i feel tremendously lonely,sadness,yes,sadness
i make them feel valued and included even when we don t see each other often that it s one of my superpowers,joy,yes,love
i feel a bit relieved,joy,yes,relief
i feel truly impatient that this is taking so long,anger,yes,anger
i hate to feel devastated so much so that i have an unhealthy habit of suppressing my feelings,sadness,yes,fear
i have been neglecting the feeling of people around me i was stubborn,anger,yes,sadness
i feel honored that my art is going to fill a room where sick children need all the joy they can get,joy,yes,joy
im feeling so sally field like these days surprised by all the love and always with a brown mop of hair atop my head,surprise,yes,surprise
i feel such morose sentiments floating around my brain,sadness,yes,sadness
i hold it for a day my arm will feel numb and paralysed,sadness,yes,fear
i feel no remorse about doing this it was unsuccessful and a learning process for me in the development of this blog,sadness,yes,surprise
i feel troubled by his hunger and his homelessness,sadness,yes,sadness
i grieve my losses and then feel ashamed because the little way has the essential component of my life well lived i get to tell someone about jesus love,sadness,yes,sadness
i spent a while in here otherwise i was in my room reading and working in the feeling good handbook or making notes on how to further keep my anger under control once i was discharged,joy,yes,fear
i drove back to the beach staring at the thing on the seat beside me feeling very depressed,sadness,yes,sadness
i do enjoy large bold prints and i suppose its odd im feeling timid about leopard,fear,yes,fear
i feel like im being punished and it makes me sad stressed worried,sadness,yes,fear
i just feel so unsure of myself and everything in my life,fear,yes,fear
