description,label,llm_labeled_successfully,llm_label,llm_confidence
"Being S Club Seven, the film already boosts an ecstatic atmosphere! But seriously, Oprah has a point when claiming: ""Don't go there, girl!"" Spice World suddenly doesn't seem to be all that bad... I take my money elsewhere!",Negative,yes,Negative,0.9998685445417593
"This film is really bad. It maybe harsh, but it is. It really is. Poor script, every vampire cliché in the book is used, and no sympathy is given at all to the origins of the main character ... i.e. ole Dracula. There have been some truly brilliant Dracula/vampire movies in the past, but this doesn't even make it into the ""dire"" slot.<br /><br />Take a selection of people who seem to have dropped out of a teen-slasher move, add a dribble of Dracula Lore and mix in a heady tonic of religious/surreal day-dreaming ... and you get a confusing mess of a film - Dracula 2000.<br /><br />I really cannot find any good things to say about this movie, as if it wasn't bad enough that it was made in the first place, they seem to have made Johnny Lee Miller effect an English accent ... Whats the problem with that I hear you cry ... Well, he is English, but he sounds like an American trying to do an English accent.<br /><br />All in all you may as well say your money (if you were thinking of buying it), or rent it out, watch it, and discover for yourself why it's about as scary as the Tellytubbies.<br /><br />P.S. Although La La is pretty frightening!",Negative,yes,Negative,0.9997516571538577
"Ah, clichés, clichés, clichés; They're a main part of a wide variety of horror films.This one, has a lot of them.Still, it's Stephen King, one of the best masters of horror. This movie was really good, just TOO predictable. And what horror movie doesn't have stupid people? This one is overcrowded with retarded victims just practically begging for their life to be taken. Pet Semetary I found to be creepy a little. The way everything is set up was REALLY spooky, but not terrifying. For the most part, the acting was SOMEWHAT believable, the suspense wasn't that suspenseful, but the entertainment level is set at a major rank; My eyes were practically glued to the screen.All Stephen King fans must see this movie, but as for anyone else, expect an OKAY thriller.",Positive,yes,Positive,0.9998588542855937
"This film is stunningly beautiful. Goldsworthy's art really benefits with the medium of film because you can see the art at its most beautiful, moving and changing and blossoming. I strongly recommend this movie to everyone. I can think of nothing else to say about it. It's just the kind of movie you HAVE TO see, because it's so visually compelling and left me very refreshed when I left the theatre.",Positive,yes,Positive,0.9999023724686109
"I found about the movie ""Holes"" by hearing from people that it wasn't typical Disney, that both kids and adults both got into the story. Folks, let me tell you I wasn't disappointed. ""Holes"" is based on the novel by Louis Sachar and follows the adventure of Stanley Yelnats, a boy who gets sent to a strange juvenile detention camp out in the desert. He befriends a boy nicknamed Zero and together they set out on adventure that changes their lives. It was a very interesting, unique, different and funny story. I didn't know quite what to expect when I watched it. It was interesting to see the story come together like pieces of a puzzle. The boys who played the juvenile delinquents were all very funny and Jon Voight was just hilarious as Mr. Sir. Now that I've seen the movie, I have to read the book. Most recommended!",Positive,yes,Positive,0.999770903336916
"While essentially a remake of the original Chinese Ghost Story, this third installment has higher production values and greater subtlety in both the acting and the story. Tony Leung is particularly good. CGS III is a gorgeous, moving film.",Positive,yes,Positive,0.9998463382801916
"Now look, I won't lie to you, but I only got this movie for $3.99 from a friend because it had Danni Filth, the lead singer of the ever popular death metal band ""Cradle Of Filth"" in it. I expected of course violence and gore at its finest, as that is what Mr Filth can be portrayed as, amongst a plot line.<br /><br />But dear god, I was oh so wrong. This movie seriously bites, big time. Being a low budget film (haha, wait, make that ZERO BUDGET), this obviously lacks the beautiful Howard Stern orchestra musical scores and the Spielberg special effects. Nope, it's all one camera, bad angles, and bad blood scenes.<br /><br />Take for example when our star and violent fiend, Mr Filth, violently kills a mugger. A grab at the throat, and blood spits out, but oh my, it looks like there's a juice packet filled with fake blood in the man's shirt.<br /><br />To you Cradle Of Filth fans: You'll hear two songs throughout the movie, but with the camera angles and shoddy filming, they drag the overall pleasure of the song DOWN.<br /><br />My final comment: Steer well away from it. It's blood, gore, breasts, and hey, even a shoddy story to go with it. So if you like appalling violence, near no voices (yes, there's hardly any words in this movie), then by all means, buy it. But if shoddy movies isn't your thing, then avoid it. Don't waste your money.",Negative,yes,Negative,0.9998190368603379
"Mr. Destiny - 3.5/5 Stars<br /><br />""Mr. Destiny's"" theme is recycled from many films spanning many different years. Its theme ranges from recent spoofs on such plots (see ""Scrooged""), to the same, more serious and dramatic notion that worked in ""It's a Wonderful Life,"" and a century earlier in the story of Scrooge as told by Charles Dickens in ""A Christmas Carol."" ""It involves an ungrateful man being taken on a guided tour of his life, and witnessing how his life could have been (or would have been) first-hand. <br /><br />In most of these types of movies the guardian angel rescues a man from ungratefulness and shows him his life in retrospect, or how it could have been. Should have been. Would have been. In this case we are shown a businessman named Larry (James Belushi). He hates his life. He lives with an unexciting wife (Linda Hamilton) and yearns for a bigger life with bigger meaning. If only he had hit the ball at the state championship in high school years ago. He is convinced his life would have been better. I guess he remembers this seemingly small moment of his life because it made a big impact on his subconscious side, but I doubt a grown man would yearn for one single act from high school. Still, it works in the movie.<br /><br />Anyway, Larry is driving home from work one night, where he is a penpusher along with Jon Lovitz, when his car breaks down. He wanders into a bar looking for a pay phone, and reluctantly decides to tell the bartender (Michael Caine) about the way his life is turning out. This is where we first see him remembering his childhood baseball strike-out.<br /><br />The bartender listens and nods, apparently not worrying about any other customers. This is probably due to the fact that the bar, though old and tattered, seems to have never been occupied by any living humans save these two men. In fact, Larry even makes a comment about never seeing the bar before. This is most likely for a certain reason that the audience is expecting before Larry. <br /><br />So the bartender, who may as well be an angel of God incarnate, just like Clarence, fixes Larry a special drink of his, which ends up putting Larry's life on reverse, showing him what his life would have been like if he had hit the home run all those years before. But Larry has no idea of any change at first, just like Jimmy Stewart didn't realize that Clarence had erased his life until he went into the bar and got kicked out Larry continues to be oblivious to any change until he goes to his home to find the lawn different outside, and a large, wrestler-type man occupying his home.<br /><br />Larry soon finds out his life would indeed have been very different had he hit the home run. Instead of marrying Linda Hamilton he married Rene Russo and moved into a large mansion with children. He finds out that Jon Lovitz is no longer his friend but an employee of his. And the most surprising fact of all is that with his new life, that Larry has always wanted...he finds himself lusting after his old wife, Linda Hamilton; proof that sometimes money and a great-looking yet shallow wife don't make up everything in a man's life, like an intelligent wife and love and true happiness. Just like ""It's a Wonderful Life"" showed the audience a man's life is what he makes it, and that every person has an impact on people, ""Mr. Destiny"" shows us that material wealth is not the same as spiritual wealth, a lesson taught us over and over again, but never quite so fluffy, forgettable and truly sweet as it is shown us in ""Mr. Destiny.""<br /><br />""Mr. Destiny"" is never exceedingly hilarious, but it is a sweet, good-natured comedy that never takes itself too seriously. The problem with all the ""It's a Wonderful Life"" retreads out there, like ""The Family Man,"" is that they try to be as influential and memorable as ""It's a Wonderful Life"" was. But there are only so many times you can single-handedly rip off a famous film, and ""Mr. Destiny"" knows this, and plays right to the fact. It doesn't try to be anything it isn't; rather, it is something it didn't try to be, and this is obvious to the audience. <br /><br />",Positive,yes,Positive,0.9998341327770891
"Most people (36) gave this movie a 10 and those who don't are being too critical or maybe expected something else. This is one of my favorite movies from the 80's, it grows on you, and has it all. I just got it on DVD and 20 years later it still does not disappoint, having plenty of action, drama, romance, and even comedy. Add to that the great car chases, automatic weapon shootouts and lots of stuff blowing up and you have a fun, edge of your seat experience! You will even be humming or whistling the main theme song for days after seeing this. <br /><br />You can watch this movie with your wife/gf and you will both enjoy it lots. The premise is that of a paperback book hero, like Doc. Savage, really existing and helping people fight evil so he can write the story is almost true to life here. The actor Jake Speed is also a director, producer and writer of many films. In THIS film Jake Speed (the character) is an Indiana Jones adventurer type, he usually uses his head to get out of sticky situations but will sometimes resorts to brute firepower (yay!,and sheer dumb luck too!). Keep an eye out for his one ""James Bond"" hi-tech equipment, the ultimate road warrior SUV dropping out of the sky.<br /><br />The heroine is the very beautiful young love interest from the early Jim Carey vampire movie ""Once Bitten"" and here she is a little older and still a knockout even compared to her teenage blonde little sister.<br /><br />The bad guys are ""real bad"" men and are the worst lowlife villainous scum you love to hate. The ending is just perfect and can stand alone or invite a sequel, sadly never made - but you can just imagine what would happen next!<br /><br />You have to see this movie just because it will entertain and amuse you and that's worth the price of a ticket.",Positive,yes,Positive,0.9997507049498431
"Admittedly, Parsifal is not an opera that can appeal to everyone, although it is a favourite of mine, Knappertsbusch, 1951, in particular. Syberberg's entire approach is so static. Whenever the music suddenly begins to swell ... Syberberg keeps the cast moving at the same pace. The takes on Amfortas and Klingsor are endless. Whatever happened to film editing? The result is physically exhausting to watch. The viewer is never spiritually transported. Your impulse is to rush home and play a recording again to confirm that Wagner got it right, Syberberg got it wrong. And that set decoration with those ""clever"" reminders of Wagner's anti-Semitism -- will there ever be a viewer of this film with no prior knowledge of Wagner?",Negative,yes,Negative,0.9997978293209466
