description,label,llm_labeled_successfully,llm_label
"If any term, provision, covenant or restriction of this Agreement is held by a court of competent jurisdiction or other Governmental Authority to be invalid, void or unenforceable, the remainder of the terms, provisions, covenants and restrictions of this Agreement shall remain in full force and effect and shall in no way be affected, impaired or invalidated so long as the economic or legal substance of the transactions contemplated hereby is not affected in any manner materially adverse to any party. Upon such a determination, the Parties shall negotiate in good faith to modify this Agreement so as to effect the original intent of the parties as closely as possible in an acceptable manner in order that the transactions contemplated hereby be consummated as originally contemplated to the fullest extent possible.",Severability,yes,Severability
Executive shall be entitled to four (4) weeks paid vacation each calendar year in accordance with the general policies of QTS LLC and the Company applicable generally to other senior executives of the Company.,Vacations,yes,Vacations
The effective date of any Renewal Term will be the first day after the expiration date of the then current Term.  The first day of the Renewal Term is also referred to as the Renewal Date.,Effective Dates,yes,Effective Dates
You (and not the Company) are solely responsible for any income and other tax withholding obligation associated with this Award or its conversion to shares of Company stock.,Tax Withholdings,yes,Tax Withholdings
"The execution, delivery and performance by Purchaser of this Agreement and the consummation by Purchaser of the transactions contemplated hereby will not (i) result in a violation of the organizational documents of Purchaser, (ii) conflict with, or constitute a default (or an event which with notice or lapse of time or both would become a default) under, or give to others any rights of termination, amendment, acceleration or cancellation of, any agreement, indenture or instrument to which Purchaser is a party, or (iii) result in a violation of any law, rule, regulation, order, judgment or decree (including federal and state securities laws) applicable to Purchaser, except in the case of clauses (ii) and (iii) above, for such conflicts, defaults, rights or violations which would not reasonably be expected to have, individually or in the aggregate, a material adverse effect on the ability of Purchaser to perform its obligations hereunder.",No Conflicts,yes,No Conflicts
"Lenders will be permitted to sell participations with voting rights limited to significant matters such as changes in amount, rate, maturity date, releases of all or substantially all of the Collateral or all or substantially all of the value of the guaranty of the Borrowers’ obligations made by the Guarantors.",Participations,yes,Participations
"Has the same meaning as “Change in Control” under the PHH Corporation 2014 Equity and Incentive Plan (without regard to any modification in any “Award Agreement” or “Award Program,” each as defined therein).",Change In Control,yes,Change In Control
"Each of Sublandord and Subtenant (in such capacity, the “ Indemnifying Party ”) shall indemnify, defend, protect, and hold harmless the other party (in such capacity, the “ Indemnified Party ”), its respective officers, agents, and employees (its “ Agents ”), from and against all claims, demands, actions, causes of action, losses, liabilities and expenses, including without limitation reasonable attorneys’ fees (collectively “ Claims ”) which may be brought against the Indemnified Party or its Agents or which the Indemnified Party or its Agents may pay or incur by reason of any breach or default of this Sublease by the Indemnifying Party, or the acts, omissions, negligence or willful misconduct of the Indemnifying Party or its Agents in or about the Sublease Premises, the Building or the Project during the Term, except to the extent that the Claims are caused by the gross negligence or willful misconduct of the Indemnified Party or its Agents. Without limiting the foregoing, Sublandlord specifically acknowledges that, while Sublandlord has used and currently uses Hazardous Materials in the Lab Space and the Shared Lab Area, Subtenant does not intend to do so, and that Sublandlord’s obligation under this Section 25 shall extend to Sublandlord’s use of Hazardous Materials in each such location. The provisions of this Section 25 shall survive the termination or earlier expiration of this Sublease.",Indemnity,yes,Indemnifications
"Licensee agrees to indemnify and hold Licensor, its officers, directors, employees, agents, representatives, successors and assigns harmless from and against all losses, damages or expenses of whatever form or nature, including attorneys' fees and other costs of legal defense, whether direct or indirect, which they, or any of them, sustain or incur as a result of (a) the breach of or failure to perform any obligation, provision or condition of Licensee contained in any of the provisions of this Agreement; (b) violation by Licensee (or any of its directors, officers, managers, affiliates, employees, representatives, or agents) of any applicable law, regulation or order; or (c) any misappropriation or misuse by Licensee of any Licensed Patents, Licensed Technical Information, or Confidential Information of Licensor.",Indemnity,yes,Indemnifications
"Except as set forth in Schedule 4.7, there are no actions, suits, or proceedings pending or, to any Credit Party’s knowledge, threatened against the Borrower or any Subsidiary, at law, in equity, or in admiralty, or by or before any Governmental Authority, which could reasonably be expected to result in a Material Adverse Change. Additionally, except as disclosed in writing to the Administrative Agent and the Lenders, there is no pending or, to the knowledge of any Credit Party, threatened action or proceeding instituted against the Borrower or any Subsidiary which seeks to adjudicate the Borrower or any Subsidiary as bankrupt or insolvent, or seeking liquidation, winding up, reorganization, arrangement, adjustment, protection, relief, or composition of it or its debts under any law relating to bankruptcy, insolvency or reorganization or relief of debtors, or seeking the entry of an order for relief or the appointment of a receiver, trustee or other similar official for it or for any substantial part of its Property.",Litigations,yes,Solvency
"No consent or waiver, express or implied, by any party of a breach or default by any party in the performance of its obligations hereunder shall be deemed or construed to be a consent or waiver to or of any other breach or default in the performance by such party of the same or any other obligations of such party hereunder.",Waivers,yes,No Waivers
"If the Company pays a cash dividend on its Common Stock, then, as soon as practical after such cash dividend is paid, the Company shall grant you additional restricted stock units (and credit your Restricted Stock Unit Account for such additional restricted stock units) with a value equal to the amount per share of such cash dividend multiplied by the number of Restricted Stock Units credited to your Restricted Stock Unit Account as of the record date of such cash dividend (the “Dividend Amount”). The number of additional restricted stock units to be granted to you pursuant to this paragraph shall be determined by dividing the Dividend Amount by the closing stock price of the Company’s Common Stock on the dividend date. You shall not be eligible to receive such additional restricted stock units until such time as the Restricted Stock Units awarded pursuant to this Agreement vest, and you shall only receive such portion of such additional restricted stock units as shall be calculated based upon the portion of the Restricted Stock Units that actually vest pursuant to this Agreement.",Adjustments,yes,Benefits
"All disputes arising out of or in connection with the present contract shall be finally settled under the Rules of Arbitration of the International Chamber of Commerce by one (1) arbitrator appointed in accordance with the said Rules. The arbitrator may grant injunctive or other relief in such dispute or controversy. The decision of the arbitrator shall be final, conclusive and binding on the Parties to the arbitration. Judgment may be entered on the arbitrator’s decision in any court of competent jurisdiction. The Parties agree that, any provision of applicable law notwithstanding, they will not request and the arbitrator shall have no authority to award, punitive or exemplary damages against either Party. The costs of the arbitration, including administrative and arbitrator’s fees, as well as the other Party’s reasonable attorneys’ fees and expert witness fees shall be borne by the losing Party. Nothing in this Section 10.1 shall preclude either Party from seeking interim or provisional relief in the form of a temporary restraining order, preliminary injunction, or other interim relief concerning a dispute prior to or during an arbitration pursuant to this Section 11.1 necessary to protect the interests of such Party. If the arbitration is initiated by Supplier, the place of arbitration shall be Boston, MA, USA, and if the arbitration is initiated by Purchaser, the place of the arbitration shall be Stockholm, Sweden. The arbitration proceedings shall be conducted in English.",Jurisdictions,yes,Arbitration
