label,entity1,entity2,llm_labeled_successfully,llm_label
duplicate,Title: mukii tip-pu301cb 2-port usb 3.0 expresscard; Category: electronics - general; Brand: mukii; ModelNo: tip-pu301cb; Price: 32.0;,Title: mukii transimp tip-pu301cb usb 3.0 2 port express card adapter; Category: memory card adapters; Brand: mukii; ModelNo: tip-pu301cb; Price: 29.99;,yes,duplicate
not duplicate,Title: imation 11864 slr-5 data cartridge; Category: mp3 accessories; Brand: imation; ModelNo: 11864; Price: 55.92;,Title: lto5 data cartridge; Category: computer accessories; Brand: quantum; ModelNo: mr-l5mqn-01; Price: 63.23;,yes,not duplicate
not duplicate,Title: iosafe rugged 750gb usb 3.0 portable external hard drive; Category: hard drives; Brand: iosafe; ModelNo: pa70750u1yr; Price: 139.98;,Title: iomega prestige portable superspeed 500 gb usb 3.0 external hard drive 35192 black; Category: external hard drives; Brand: iomega; ModelNo: 35192; Price: 70.33;,yes,not duplicate
not duplicate,Title: apc home office surgearrest 8 outlet with phone splitter protection 120v; Category: computers; Brand: apc; ModelNo: p8t3; Price: 22.0;,Title: apc essential surgearrest 7 outlet phone line protection; Category: uninterrupted power supply ups; Brand: apc; ModelNo: p7t; Price: 14.48;,yes,not duplicate
not duplicate,Title: logitech 910-002463 wireless mouse m305 silver filament; Category: mice; Brand: logitech; ModelNo: 910-002463; Price: 28.88;,Title: logitech wireless mouse m310 victorian wallpaper 910-002480; Category: mice; Brand: logitech; ModelNo: 910-002480; Price: 17.5;,yes,not duplicate
not duplicate,Title: da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format; Category: electronics - general; Brand: da-lite; ModelNo: 23096; Price: 10048.99;,Title: da-glas base rear projection screen - 70 x 70 av format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 2622.99;,yes,not duplicate
not duplicate,Title: msi ati radeon hd6670 1gb ddr5 pci-express video card; Category: electronics - general; Brand: msi; ModelNo: r6670-md1gd5; Price: 107.0;,Title: xfx ati radeon hd 5670 1 gb ddr5 dvi hdmi displayport pci-express video card hd567xznf3; Category: computers accessories; Brand: xfx; ModelNo: hd567xznf3; Price: 79.99;,yes,not duplicate
not duplicate,Title: da-lite holoscreen rear projection screen - 22 x 33 3 4 video format; Category: electronics - general; Brand: da-lite; ModelNo: 20030; Price: 1600.0;,Title: da-glas base rear projection screen - 36 x 48 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 1199.99;,yes,not duplicate
duplicate,Title: motorola netopia 3346n-ent broadband router; Category: networking; Brand: motorola; ModelNo: 3346n-ent; Price: 103.84;,Title: netopia 3346n-ent adsl adsl2 modem 4 port switch; Category: routers; Brand: netopia; ModelNo: 3346n-ent; Price: 107.99;,yes,duplicate
not duplicate,Title: jvc haebx85p sports ear-clip headphones - pink; Category: electronics - general; Brand: jvc; ModelNo: haebx85p; Price: 14.54;,Title: jvc haebx5d inner ear sports clip headphones orange; Category: headphones; Brand: jvc; ModelNo: haebx5d; Price: 13.88;,yes,not duplicate
not duplicate,Title: v7 5 cat6 snagless molded network patch cable red; Category: electronics - general; Brand: v7; ModelNo: v7n2c6-05f-reds; Price: 4.88;,Title: v7 cat5e snagless molded network patch cable rj45 male to male blue 25-feet v7n3c5e-25f-blus; Category: ethernet cables; Brand: v7; ModelNo: v7n3c5e-25f-blus; Price: 5.13;,yes,not duplicate
