Institution,Count,City,State,District,Representative,Notes,llm_state,llm_labeled_successfully,llm_city,llm_zip,Unnamed: 11,llm_label
"Lawrence Berkeley National Laboratory (LBNL, LBL)",1214,Berkeley,CA,CA-12,Barbara Lee,,CA,yes,Berkeley,94720,,Barbara Lee
University of California Berkeley (UCB),1168,Berkeley,CA,CA-12,Barbara Lee,,CA,yes,Berkeley,94720,,Barbara Lee
Stanford University,136,Stanford,CA,CA-16,Anna Eshoo,,CA,yes,Stanford,94305,,Anna G. Eshoo
Lawrence Livermore National Laboratory (LLNL),86,Livermore,CA,CA-14,Eric Swalwell,,CA,yes,Livermore,94550,,"John S. Duarte, Eric Swalwell, Zoe Lofgren"
University of California Santa Cruz (UCSC),75,Santa Cruz,CA,CA-19,Jimmy Panetta,,CA,yes,Santa Cruz,95064,,Jimmy Panetta
University of California San Francisco (UCSF),67,San Francisco,CA,CA-11,Nancy Pelosi,,CA,yes,San Francisco,94143,,Nancy Pelosi
University of California Davis (UCD),63,Davis,CA,CA-08,John Garamendi,,CA,yes,Davis,95616,,Mike Thompson
University of California Merced (UCM),59,Merced,CA,CA-13,John Duarte,,CA,yes,Merced,95343,,John S. Duarte
University of California Los Angeles (UCLA),51,Los Angeles,CA,CA-36,Ted Lieu,,CA,yes,Los Angeles,90095,,Ted Lieu
University of California Santa Barbara (UCSB),42,Santa Barbara,CA,CA-24,Salud Carbajal,,CA,yes,Santa Barbara,93106,,Salud O. Carbajal
Columbia University,33,New York,NY,NY-12,Jerrold Nadler,,NY,yes,New York City,10027,,"Adriano Espaillat, Ritchie Torres"
Sandia National Laboratories,25,Albuquerque,NM,NM-1,Melanie Stansbury,,NM,yes,Albuquerque,87185,,Melanie A. Stansbury
California Institute of Technology (Caltech),24,Pasadena,CA,CA-28,Judy Chu,,CA,yes,Pasadena,91125,,Judy Chu
University of Washington,22,Seattle,WA,WA-07,Pramila Jayapal,,WA,yes,Seattle,98195,,Pramila Jayapal
University of Southern California (USC),19,Los Angeles,CA,CA-37,Sydney Kamlager-Dove,,CA,yes,Los Angeles,90089,,"Jimmy Gomez, Sydney Kamlager-Dove"
Los Alamos National Laboratory (LANL),17,Los Alamos,NM,NM-3,Teresa Leger Fernandez,,NM,yes,Los Alamos,87544,,Teresa Leger Fernandez
Pacific Northwest National Laboratory (PNNL),17,Richland,WA,WA-04,Dan Newhouse,,WA,yes,Richland,99352,,Dan Newhouse
Massachusetts Institute of Technology - MIT,16,Cambridge,MA,MA-07,Ayanna Pressley,,MA,yes,Cambridge,02139,,"Katherine M. Clark, Ayanna Pressley"
Pennsylvania State University,16,State College,PA,PA-15,Glenn Thompson,,PA,yes,State College,16802,,Glenn Thompson
University of Oregon,16,Eugene,OR,OR-04,Val Hoyle,,OR,yes,Eugene,97403,,Val T. Hoyle
"aBeam Technologies, Inc.",15,Hayward,CA,CA-14,Eric Swalwell,,CA,yes,Hayward,94541,,Eric Swalwell
Northwestern University,15,Evanston,IL,IL-09,Jan Schakowsky,,IL,yes,Evanston,60208,,Janice D. Schakowsky
"Porifera, Inc.",15,San Leandro,CA,CA-12,Barbara Lee,,CA,yes,Hayward,94545,,Eric Swalwell
University of California Irvine (UCI),16,Irvine,CA,CA-47,Katie Porter,,CA,yes,Irvine,92697,,Katie Porter
University of California San Diego (UCSD),14,La Jolla,CA,CA-50,Scott Peters,,CA,yes,San Diego,92093,,Scott H. Peters
"Heliotrope Technologies, Inc.",13,Alameda,CA,CA-12,Barbara Lee,,MA,yes,Boston,02129,,Ayanna Pressley
Sepion Technologies Inc.,13,Emeryville,CA,CA-12,Barbara Lee,,CA,yes,Emeryville,94608,,Barbara Lee
Texas A&M University,13,College Station,TX,TX-10,Michael McCaul,,TX,yes,College Station,77843,,Michael T. McCaul
University of Illinois-Urbana-Champaign (UIUC),12,Champaign,IL,IL-13,Nikki Budzinski ,,IL,yes,Urbana,61801,,Nikki Budzinski
"University of Massachusetts, Amherst",12,Amherst,MA,MA-02,Jim McGovern,,MA,yes,Amherst,01003,,James P. McGovern
Cornell University,11,Ithaca,NY,NY-19,Marcus Molinaro,,NY,yes,Ithaca,14850,,Marcus J. Molinaro
Purdue University,11,West Lafayette,IN,IN-04,Jim Baird,,IN,yes,West Lafayette,47907,,James R. Baird
Harvard University,10,Cambridge,MA,MA-05,Katherine Clark,,MA,yes,Cambridge,02138,,"Katherine M. Clark, Ayanna Pressley"
"Matrix Sensors, Inc.",10,San Diego,CA,CA-51,Sara Jacobs,,TX,yes,Austin,78758,,Lloyd Doggett
"Ohio State University, The",10,Columbus,OH,OH-03,Joyce Beatty,,OH,yes,Columbus,43210,,"Joyce Beatty, Mike Carey"
University of Hawai'i at Manoa,10,Honolulu,HI,HI-1,Ed Case,,HI,yes,Honolulu,96822,,Ed Case
University of Michigan,10,Ann Arbor,MI,MI-06,Debbie Dingell ,,MI,yes,Ann Arbor,48109,,Debbie Dingell
University of Texas at Austin,10,Austin,TX,TX-37,Lloyd Doggett,,TX,yes,Austin,78712,,"Greg Casar, Lloyd Doggett"
"Coreshell Technologies, Inc.",9,,,,,,MA,yes,Cambridge,02139,,"Katherine M. Clark, Ayanna Pressley"
"Spark Thermionics, Inc.",9,,,,,,MD,yes,College Park,20740,,Glenn Ivey
University of Colorado Boulder,9,,CO,,,,CO,yes,Boulder,80309,,Joe Neguse
"University of Nevada, Reno",9,,NV,,,,NV,yes,Reno,89557,,Mark E. Amodei
Virginia Tech,9,,VA,,,,VA,yes,Blacksburg,24061,,H. Morgan Griffith
New York University,8,,NY,,,,NY,yes,New York City,10003,,"Daniel S. Goldman, Nicole Malliotakis, Jerrold Nadler"
San Jose State University,8,San Jose,CA,,,,CA,yes,San Jose,95192,,Zoe Lofgren
Scripps Research Institute,8,,CA,,,,CA,yes,La Jolla,92037,,"Scott H. Peters, Sara Jacobs"
X-Therma Inc.,8,,,,,,CA,yes,Richmond,94804,,John Garamendi
Brookhaven National Laboratory (BNL),7,,NY,,,,NY,yes,Upton,11973,,Nick LaLota
Georgia Institute of Technology (Georgia Tech),7,,GA,,,,GA,yes,Atlanta,30332,,Nikema Williams
