example,label
"Promptly (and in any event, within three (3) Business Days) upon becoming aware of (a) any actual or potential Conflict of Interest or (b) any lawsuit, claim or arbitration filed against or involving Employee or any trust or vehicle owned or controlled by Employee that (with respect to such lawsuit, claim or arbitration) could reasonably be expected to affect Employee’s ability to perform his duties hereunder or, if determined adversely, could reasonably be expected to have an adverse effect on any member of the Company Group, in each case, Employee shall disclose such actual or potential Conflict of Interest or such lawsuit, claim or arbitration to the Board.  A “ Conflict of Interest ” shall exist when Employee engages in, or plans to engage in, any activities, associations, or interests that conflict with, or create an appearance of a conflict with, Employee’s duties, responsibilities, authorities, or obligations for and to any member of the Company Group.",Disclosures
No Unmatured Event of Default or Event of Default has occurred and is continuing or would result from the consummation of the transactions consummated by this Agreement or any other Loan Document.,No Defaults
"No failure or delay on the part of Administrative Agent or Lenders to exercise any right or remedy under the Credit Agreement, any other Credit Documents or applicable law shall operate as a waiver thereof, nor shall any single or partial exercise of any right or remedy preclude any other or further exercise of any right or remedy, all of which are cumulative and may be exercised without notice except to the extent notice is expressly required (and has not been waived) under the Credit Agreement, the other Credit Documents and applicable law.",No Waivers
"As of the Closing Date, part (A) of the Subsidiary Certificate sets forth the name and jurisdiction of incorporation of each Subsidiary and, as to each such Subsidiary, the percentage of each class of Capital Stock owned by any Grantor.",Subsidiaries
"The waiver by either party of a breach of any provision of this Agreement, or failure to insist upon strict compliance with the terms of this Agreement, shall not be deemed a waiver of any subsequent breach or relinquishment of any right or power under this Agreement.",Waivers
"Notwithstanding any other provision of the Plan or this Agreement to the contrary, by accepting the Award represented by this Agreement, the Participant acknowledges that any incentive-based compensation paid to the Participant hereunder may be subject to recovery by the Company under any clawback policy that the Company may adopt from time to time, including without limitation any policy that the Company may be required to adopt under Section 954 of the Dodd-Frank Wall Street Reform and Consumer Protection Act and the rules and regulations of the U.S. Securities and Exchange Commission thereunder or the requirements of any national securities exchange on which the Shares may be listed. The Participant further agrees to promptly return any such incentive-based compensation which the Company determines it is required to recover from you under any such clawback policy.",Forfeitures
"This Agreement shall continue and remain in effect until all Management Agreements terminate or expire for any reason.  Notwithstanding anything in the Management Agreements to the contrary, the right of any FVE Party to extend the term of any Management Agreement pursuant to the provisions of such Management Agreement is conditioned on the Extension Conditions having been satisfied at the time such FVE Party exercises such extension option, provided , however , the exercise of such extension option shall not be effective if, in any 2 calendar years out of the 3 calendar years ending December 31 st  of the calendar year that is 1 year prior to the expiration of the then current term, the Portfolio EBITDA and Portfolio IL EBITDA, on a combined basis, for such calendar year does not equal at least 97% of the sum of the EBITDAs of the Communities budgeted for such calendar year as identified in the Approved Budgets for the Communities for such calendar year, in which event the Management Agreements shall expire at the end of their then current term in accordance with the provisions of the Management Agreements.",Terms
"In the event any provision of this Agreement is found to be unenforceable by an arbitrator or court of competent jurisdiction, such provision shall be deemed modified to the extent necessary to allow enforceability of the provision as so limited, it being intended that the parties shall receive the benefit contemplated herein to the fullest extent permitted by law. If a deemed modification is not satisfactory in the judgment of such arbitrator or court, the unenforceable provision shall be deemed deleted, and the validity and enforceability of the remaining provisions shall not be affected thereby.",Severability
The undersigned’s representations and warranties made in this Subscription Agreement survive the execution and delivery of this Agreement and the delivery of the Securities.,Survival
"In the event of a Change in Control, each Outside Director will fully vest in his or her Awards.",Change In Control
Borrower does not have any Subsidiaries and it does not own of record or beneficially any Equity Securities of any Person other than the Preferred Shares.,Subsidiaries
"Each of the Lenders, each Issuing Bank and each of the Agents agrees that it shall maintain in confidence any information relating to Parent, any Borrower and any Subsidiary or their respective businesses furnished to it by or on behalf of Parent, any Borrower or any Subsidiary (other than information that (a) has become generally available to the public other than as a result of a disclosure by such party, (b) has been independently developed by such Lender, such Issuing Bank or such Agent without violating this Section 9.16 or (c) was available to such Lender, such Issuing Bank or such Agent from a third party having, to such person’s knowledge, no obligations of confidentiality to any Borrower or any other Loan Party) and shall not reveal the same other than to its Related Parties and any numbering, administration or settlement service providers or to any person that approves or administers the Loans on behalf of such Lender (so long as each such person shall have been instructed to keep the same confidential in accordance with this Section 9.16), except: (A) to the extent necessary to comply with applicable laws or any legal process or the requirements of any Governmental Authority purporting to have jurisdiction over such person or its Related Parties, the National Association of Insurance Commissioners or of any securities exchange on which securities of the disclosing party or any Affiliate of the disclosing party are listed or traded, (B) as part of reporting or review procedures to, or examinations by, Governmental Authorities or self-regulatory authorities, including the National Association of Insurance Commissioners or the National Association of Securities Dealers, Inc., (C) to its parent companies, Affiliates and their Related Parties including auditors, accountants, legal counsel and other advisors (so long as each such person shall have been instructed to keep the same confidential in accordance with this Section 9.16), (D) in connection with the exercise of any remedies under this Agreement or any other Loan Document or any suit, action or proceeding relating to this Agreement or any other Loan Document or the enforcement of rights hereunder or thereunder, (E) to any pledgee under Section 9.04(d) or any other prospective assignee of, or prospective Participant in, any of its rights under this Agreement (so long as such person shall have been instructed to keep the same confidential in accordance with this Section 9.16), (F) to any direct or indirect contractual counterparty (or its Related Parties) in Hedging Agreements or such contractual counterparty’s professional advisor (so long as such contractual counterparty or professional advisor to such contractual counterparty agrees to be bound by the provisions of this Section 9.16), (G) on a confidential basis to (i) any rating agency in connection with rating Parent, any Borrower or their Subsidiaries or the facilities evidenced by this Agreement or (ii) the CUSIP Service Bureau or any similar agency in connection with the issuance and monitoring of CUSIP numbers with respect to the facilities evidenced by this Agreement, (H) with the prior written consent of any Borrower, (I) to the extent routinely provided by arrangers to data service providers, including league table providers, that serve the lending industry and (J) to any other party to this Agreement.",Confidentiality
