label,entity1,entity2,Title_entity1,Category_entity1,Brand_entity1,ModelNo_entity1,Price_entity1,Title_entity2,Category_entity2,Brand_entity2,ModelNo_entity2,Price_entity2
not duplicate,Title: wintec filemate 4gb compactflash memory card; Category: usb drives; Brand: wintec; ModelNo: 3fmcf4gb-r; Price: 15.98;,Title: sandisk 4gb ultra ii compactflash memory card 15mb s; Category: memory cards; Brand: sandisk; ModelNo: sdcfh-4096; Price: 17.96;,wintec filemate 4gb compactflash memory card,usb drives,wintec,3fmcf4gb-r,15.98,sandisk 4gb ultra ii compactflash memory card 15mb s,memory cards,sandisk,sdcfh-4096,17.96
not duplicate,Title: iosafe rugged 500gb usb 3.0 portable external hard drive; Category: hard drives; Brand: iosafe; ModelNo: pa50500u5yr; Price: 299.98;,Title: western digital wd elements se 1 tb usb 2.0 portable external hard drive; Category: external hard drives; Brand: western digital; ModelNo: wdbabv0010bbk-nesn; Price: 79.99;,iosafe rugged 500gb usb 3.0 portable external hard drive,hard drives,iosafe,pa50500u5yr,299.98,western digital wd elements se 1 tb usb 2.0 portable external hard drive,external hard drives,western digital,wdbabv0010bbk-nesn,79.99
duplicate,Title: hp 27 black inkjet cartridge c8727an; Category: printers; Brand: hp; ModelNo: c8727an; Price: 19.97;,Title: hp 27 black ink cartridge in retail packaging c8727an 140; Category: inkjet printer ink; Brand: hp; ModelNo: hewc8727an; Price: 18.61;,hp 27 black inkjet cartridge c8727an,printers,hp,c8727an,19.97,hp 27 black ink cartridge in retail packaging c8727an 140,inkjet printer ink,hp,hewc8727an,18.61
not duplicate,Title: nzxt phantom crafted series atx full tower steel chassis black; Category: electronics - general; Brand: nzxt; ModelNo: nzxt phantom; Price: 139.82;,Title: nzxt zero 2 crafted series steel full tower chassis - no power black; Category: computer cases; Brand: nzxt; ModelNo: zero 2 black no power; Price: 89.99;,nzxt phantom crafted series atx full tower steel chassis black,electronics - general,nzxt,nzxt phantom,139.82,nzxt zero 2 crafted series steel full tower chassis - no power black,computer cases,nzxt,zero 2 black no power,89.99
not duplicate,Title: da-lite da-glas unframed rear projection screen - 43 1 4 x 57 3 4 video format; Category: electronics - general; Brand: da-lite; ModelNo: 27602; Price: 920.99;,Title: da-lite data pro thru-the-wall rear projection screen - 52 x 92 hdtv format; Category: projection screens; Brand: da-lite; ModelNo: 23181; Price: 15985.81;,da-lite da-glas unframed rear projection screen - 43 1 4 x 57 3 4 video format,electronics - general,da-lite,27602,920.99,da-lite data pro thru-the-wall rear projection screen - 52 x 92 hdtv format,projection screens,da-lite,23181,15985.81
not duplicate,Title: bell o high-speed hdmi cable with ethernet 2-meter; Category: tv accessories; Brand: bell ' o; ModelNo: hd7102; Price: 69.99;,Title: ge 87704 high-speed hdmi cables with ethernet 2-pack 6-feet; Category: hdmi cables; Brand: general electric; ModelNo: 87704; Price: 25.55;,bell o high-speed hdmi cable with ethernet 2-meter,tv accessories,bell ' o,hd7102,69.99,ge 87704 high-speed hdmi cables with ethernet 2-pack 6-feet,hdmi cables,general electric,87704,25.55
not duplicate,Title: manfrotto unica v dslr messenger bag; Category: photography - general; Brand: manfrotto; ModelNo: mb-sm390-5bc; Price: 89.99;,Title: manfrotto mb sm390-5bb unica v messenger bag black; Category: cases bags; Brand: manfrotto; ModelNo: mb sm390-5bb; Price: 89.89;,manfrotto unica v dslr messenger bag,photography - general,manfrotto,mb-sm390-5bc,89.99,manfrotto mb sm390-5bb unica v messenger bag black,cases bags,manfrotto,mb sm390-5bb,89.89
not duplicate,Title: master caster big foot no-slip rubber wedge gray 2pk; Category: home care; Brand: master caster; ModelNo: 00972; Price: 8.79;,Title: master caster 00971 - big foot doorstop no-slip rubber wedge 2-1 4w x 4-3 4d x 1-1 4h brown 2 pack; Category: laminating supplies; Brand: master caster; ModelNo: nan; Price: nan;,master caster big foot no-slip rubber wedge gray 2pk,home care,master caster,00972,8.79,master caster 00971 - big foot doorstop no-slip rubber wedge 2-1 4w x 4-3 4d x 1-1 4h brown 2 pack,laminating supplies,master caster,nan,nan
not duplicate,Title: panasonic kx-tg4022n dect 6.0 plus expandable cordless answering system w 2 handsets; Category: electronics - general; Brand: panasonic; ModelNo: kx-tg4022n; Price: 44.98;,Title: panasonic kx-tg1062m dect 6.0 corded cordless phone with answering machine metallic gray 2 handsets; Category: corded-cordless combo telephones; Brand: panasonic; ModelNo: kx-tg1062m; Price: nan;,panasonic kx-tg4022n dect 6.0 plus expandable cordless answering system w 2 handsets,electronics - general,panasonic,kx-tg4022n,44.98,panasonic kx-tg1062m dect 6.0 corded cordless phone with answering machine metallic gray 2 handsets,corded-cordless combo telephones,panasonic,kx-tg1062m,nan
not duplicate,Title: da-lite da-plex self trimming rear projection screen - 40 1 4 x 53 3 4 video format; Category: electronics - general; Brand: da-lite; ModelNo: 27580; Price: 1892.99;,Title: da-lite da-plex thru-the-wall rear projection screen - 90 x 120 video format; Category: projection screens; Brand: da-lite; ModelNo: 23055; Price: 12222.0;,da-lite da-plex self trimming rear projection screen - 40 1 4 x 53 3 4 video format,electronics - general,da-lite,27580,1892.99,da-lite da-plex thru-the-wall rear projection screen - 90 x 120 video format,projection screens,da-lite,23055,12222.0
not duplicate,Title: ihome rechargeable collapsible portable mini multimedia speakers silver; Category: portable audio; Brand: ihome; ModelNo: ihm79sc; Price: 47.55;,Title: ihome ihm78px rechargeable mini speakers pink; Category: mp3 player accessories; Brand: ihome; ModelNo: ihm78px; Price: 24.0;,ihome rechargeable collapsible portable mini multimedia speakers silver,portable audio,ihome,ihm79sc,47.55,ihome ihm78px rechargeable mini speakers pink,mp3 player accessories,ihome,ihm78px,24.0
not duplicate,Title: panasonic bb-hcm580a poe zoom mpeg-4 network camera; Category: garden - general; Brand: panasonic; ModelNo: bb-hcm580a; Price: 779.82;,Title: panasonic bl-c160a outdoor lighted mpeg-4 network camera silver; Category: surveillance cameras; Brand: panasonic; ModelNo: bl-c160a; Price: 247.89;,panasonic bb-hcm580a poe zoom mpeg-4 network camera,garden - general,panasonic,bb-hcm580a,779.82,panasonic bl-c160a outdoor lighted mpeg-4 network camera silver,surveillance cameras,panasonic,bl-c160a,247.89
duplicate,Title: rolodex wood tone desk pad mahogany 24 x 19; Category: stationery & office machinery; Brand: rolodex; ModelNo: 23390; Price: 37.94;,Title: rolodex 23390 - wood tone desk pad mahogany 24 x 19; Category: blank media; Brand: rolodex; ModelNo: nan; Price: 34.65;,rolodex wood tone desk pad mahogany 24 x 19,stationery & office machinery,rolodex,23390,37.94,rolodex 23390 - wood tone desk pad mahogany 24 x 19,blank media,rolodex,nan,34.65
not duplicate,Title: belkin basic wireless n150 usb adapter; Category: networking; Brand: belkin; ModelNo: f7d1101; Price: 29.99;,Title: belkin f5d8073 n wireless expresscard adapter; Category: computer accessories; Brand: belkin; ModelNo: f5d8073; Price: 25.0;,belkin basic wireless n150 usb adapter,networking,belkin,f7d1101,29.99,belkin f5d8073 n wireless expresscard adapter,computer accessories,belkin,f5d8073,25.0
not duplicate,Title: siig hi-speed usb 2.0 esata enclosure for 2.5 sata hard disks; Category: electronics - general; Brand: siig; ModelNo: ju-sa0d12-s1; Price: 15.88;,Title: macally hi-speed esata firewire usb 2.0 storage enclosure for 3.5-inch sata hard disk g-s350suab2 silver; Category: computers accessories; Brand: macally; ModelNo: g-s350suab2; Price: 66.24;,siig hi-speed usb 2.0 esata enclosure for 2.5 sata hard disks,electronics - general,siig,ju-sa0d12-s1,15.88,macally hi-speed esata firewire usb 2.0 storage enclosure for 3.5-inch sata hard disk g-s350suab2 silver,computers accessories,macally,g-s350suab2,66.24
not duplicate,Title: logitech m305 wireless mouse black; Category: mice; Brand: logitech; ModelNo: 910-001752; Price: 29.73;,Title: logitech m305 wireless mouse silver; Category: mice; Brand: logitech; ModelNo: 910-000928; Price: 19.99;,logitech m305 wireless mouse black,mice,logitech,910-001752,29.73,logitech m305 wireless mouse silver,mice,logitech,910-000928,19.99
not duplicate,Title: belkin 3 cat-5e snagless patch cable blue; Category: electronics - general; Brand: belkin; ModelNo: a3l791-03-blu-s; Price: 4.35;,Title: belkin cat-5e snagless patch cable blue 25 feet; Category: ethernet cables; Brand: belkin; ModelNo: a3l791-25-blu-s; Price: 9.5;,belkin 3 cat-5e snagless patch cable blue,electronics - general,belkin,a3l791-03-blu-s,4.35,belkin cat-5e snagless patch cable blue 25 feet,ethernet cables,belkin,a3l791-25-blu-s,9.5
duplicate,Title: ocz technology vertex 2 60gb 2.5 sata ii solid state drive; Category: hard drives; Brand: ocz technologies; ModelNo: oczssd22vtxe60g; Price: 119.98;,Title: ocz technology 60 gb vertex 2 series sata ii 2.5-inch solid state drive ssd oczssd22vtxe60g; Category: camcorders; Brand: ocz; ModelNo: oczssd2-2vtxe60g; Price: 94.99;,ocz technology vertex 2 60gb 2.5 sata ii solid state drive,hard drives,ocz technologies,oczssd22vtxe60g,119.98,ocz technology 60 gb vertex 2 series sata ii 2.5-inch solid state drive ssd oczssd22vtxe60g,camcorders,ocz,oczssd2-2vtxe60g,94.99
duplicate,Title: trodat trodat econ micro 5-in-1 message stamp dater self-inking 1 x 3 4 blue red; Category: stationery & office machinery; Brand: nan; ModelNo: t4850l; Price: 14.47;,Title: trodat e4850l - trodat econ micro 5-in-1 message stamp dater self-inking 1 x 3 4 blue red; Category: laminating supplies; Brand: trodat; ModelNo: nan; Price: nan;,trodat trodat econ micro 5-in-1 message stamp dater self-inking 1 x 3 4 blue red,stationery & office machinery,nan,t4850l,14.47,trodat e4850l - trodat econ micro 5-in-1 message stamp dater self-inking 1 x 3 4 blue red,laminating supplies,trodat,nan,nan
not duplicate,Title: pioneer 5.25 2-way speakers 35w; Category: car stereos; Brand: pioneer; ModelNo: ts-d1302r; Price: 136.0;,Title: pioneer ts-g1343r 5.25 2-way speakers; Category: office electronics; Brand: pioneer; ModelNo: nan; Price: 29.99;,pioneer 5.25 2-way speakers 35w,car stereos,pioneer,ts-d1302r,136.0,pioneer ts-g1343r 5.25 2-way speakers,office electronics,pioneer,nan,29.99
not duplicate,Title: da-lite matte white deluxe model b manual screen - 60 x 80 video format; Category: electronics - general; Brand: da-lite; ModelNo: 74698; Price: 188.99;,Title: natural walnut veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;,da-lite matte white deluxe model b manual screen - 60 x 80 video format,electronics - general,da-lite,74698,188.99,natural walnut veneer model b manual screen with matte white fabric - diagonal video format size 60 x 60 diagonal,projection screens,da-lite,nan,nan
not duplicate,Title: action sport drives 4gb santa cruz usb skate drive rob eyes; Category: usb drives; Brand: ep memory; ModelNo: sc-skatere/4g; Price: 10.84;,Title: action sports 4gb santa cruz surfdrive - archie; Category: usb flash drives; Brand: dane; ModelNo: nan; Price: 11.5;,action sport drives 4gb santa cruz usb skate drive rob eyes,usb drives,ep memory,sc-skatere/4g,10.84,action sports 4gb santa cruz surfdrive - archie,usb flash drives,dane,nan,11.5
